feature,impurity_importance,feature_group
sp_contrast_b4_mean,0.045126365691547356,spectral_shape_texture
logmel_36_std,0.04145894240935896,logmel_band_statistics
mfcc_01_std,0.041409548808807234,mfcc_patterns
logmel_36_mean,0.03624326444378981,logmel_band_statistics
logmel_35_mean,0.03391497081605616,logmel_band_statistics
sp_contrast_b5_mean,0.03256261298896285,spectral_shape_texture
mfcc_01_mean,0.030141439291898046,mfcc_patterns
logmel_37_std,0.024633254538595776,logmel_band_statistics
logmel_35_std,0.024151217790733384,logmel_band_statistics
logmel_38_mean,0.024015654688040466,logmel_band_statistics
logmel_37_mean,0.021910577357579782,logmel_band_statistics
sp_contrast_b3_mean,0.020473209639346086,spectral_shape_texture
logmel_34_mean,0.020394443255897954,logmel_band_statistics
logmel_38_std,0.018878276180761638,logmel_band_statistics
mfcc_02_std,0.01869719550829199,mfcc_patterns
logmel_34_std,0.015350081544731506,logmel_band_statistics
logmel_39_mean,0.015035633797236382,logmel_band_statistics
logmel_33_mean,0.014268854719750418,logmel_band_statistics
mfcc_02_mean,0.014262002941552887,mfcc_patterns
logmel_27_std,0.013734723282445318,logmel_band_statistics
logmel_33_std,0.013189457104015893,logmel_band_statistics
sp_contrast_b2_mean,0.012879372424655939,spectral_shape_texture
logmel_24_std,0.01285794462563406,logmel_band_statistics
logmel_39_std,0.012103717980835645,logmel_band_statistics
logmel_32_std,0.011584543484237696,logmel_band_statistics
mfcc_10_mean,0.010889147869342173,mfcc_patterns
logmel_26_std,0.010262799580214407,logmel_band_statistics
logmel_28_mean,0.009715911410691854,logmel_band_statistics
logmel_24_mean,0.009138174152590101,logmel_band_statistics
mfcc_00_mean,0.009015487878420195,mfcc_patterns
logmel_29_std,0.008797402332216837,logmel_band_statistics
logmel_28_std,0.008528519125422063,logmel_band_statistics
logmel_32_mean,0.00847798394476023,logmel_band_statistics
logmel_31_std,0.008242922819240947,logmel_band_statistics
logmel_30_std,0.00807684788924855,logmel_band_statistics
logmel_31_mean,0.008036791509495702,logmel_band_statistics
mfcc_03_mean,0.007976043200828935,mfcc_patterns
logmel_23_std,0.007603335109064675,logmel_band_statistics
sp_contrast_b3_std,0.0073963012361412455,spectral_shape_texture
logmel_25_std,0.007183839033998141,logmel_band_statistics
logmel_27_mean,0.00714828433642337,logmel_band_statistics
mfcc_08_mean,0.006860025956360263,mfcc_patterns
